지역	승용						승합						화물						특수						기타						합계
	사업용			비사업용			사업용			비사업용			사업용			비사업용			사업용			비사업용			사업용			비사업용			
	자도	타도	합계	자도	타도	합계	자도	타도	합계	자도	타도	합계	자도	타도	합계	자도	타도	합계	자도	타도	합계	자도	타도	합계	자도	타도	합계	자도	타도	합계	
부산	165	45	210	13,422	6,977	20,399	5	4	9	669	203	872	201	142	343	2,733	1,216	3,949	50	44	94	13	13	26	3	0	3	22	1	23	25,928
대구	79	15	94	9,297	3,577	12,874	3	0	3	323	125	448	64	61	125	1,442	591	2,033	3	16	19	9	3	12	2	0	2	5	0	5	15,615
인천	15	92	107	5,049	5,458	10,507	10	0	10	338	231	569	241	353	594	990	881	1,871	139	134	273	51	33	84	0	0	0	500	6	506	14,521
광주	34	3	37	6,205	2,107	8,312	2	14	16	374	137	511	49	45	94	1,346	543	1,889	8	15	23	12	7	19	0	0	0	59	2	61	10,962
대전	45	14	59	5,430	3,438	8,868	70	291	361	333	174	507	69	132	201	1,055	754	1,809	12	16	28	11	13	24	0	0	0	0	0	0	11,857
울산	112	14	126	9,054	2,201	11,255	0	0	0	402	82	484	51	52	103	1,978	420	2,398	7	3	10	13	0	13	1	0	1	58	0	58	14,448
경기	1,218	2,714	3,932	136,879	144,602	281,481	1,017	872	1,889	8,946	8,283	17,229	2,010	2,024	4,034	25,885	22,335	48,220	156	451	607	264	218	482	5	3	8	1,228	126	1,354	359,236
강원	149	163	312	15,556	7,251	22,807	26	9	35	1,128	228	1,356	75	123	198	6,748	1,007	7,755	10	9	19	52	9	61	0	0	0	255	2	257	32,800
충북	61	104	165	7,187	6,891	14,078	45	1,212	1,257	537	370	907	95	233	328	3,139	1,602	4,741	16	33	49	36	20	56	0	0	0	32	0	32	21,613
충남	116	231	347	14,992	14,001	28,993	17	1	18	1,106	397	1,503	103	266	369	6,436	1,953	8,389	31	81	112	56	28	84	0	0	0	151	2	153	39,968
전북	152	35	187	20,790	7,481	28,271	50	2	52	1,445	346	1,791	171	153	324	7,781	1,926	9,707	28	32	60	89	5	94	0	0	0	18	0	18	40,504
전남	135	126	261	18,353	11,134	29,487	47	31	78	1,299	608	1,907	184	257	441	8,647	2,884	11,531	78	66	144	88	43	131	0	0	0	9	0	9	43,989
경남	345	588	933	34,467	26,832	61,299	187	469	656	2,183	1,509	3,692	391	1,100	1,491	11,123	5,551	16,674	166	518	684	147	121	268	1	0	1	321	1	322	86,020
경북	276	561	837	30,744	21,531	52,275	88	83	171	1,868	851	2,719	333	554	887	13,242	4,933	18,175	135	114	249	142	71	213	0	0	0	8	0	8	75,534
제주	51	2	53	6,367	787	7,154	13	0	13	417	31	448	27	4	31	2,746	133	2,879	2	0	2	15	1	16	0	0	0	0	0	0	10,596
세종	5	228	233	1,271	4,069	5,340	0	4	4	47	243	290	9	36	45	250	681	931	0	12	12	4	17	21	0	0	0	40	0	40	6,916
합 계	2,958	4,935	7,893	335,063	268,337	603,400	1,580	2,992	4,572	21,415	13,818	35,233	4,073	5,535	9,608	95,541	47,410	142,951	841	1,544	2,385	1,002	602	1,604	12	3	15	2,706	140	2,846	810,507
